,edit_history_tweet_ids,id,text
0,['1610516629862993921'],1610516629862993921,"@ukgimp Client cash accounting (rents) - very different from  GAAP, profit and loss accounting.

 Not robbing Peter to pay Paul's bill, not  using clients' money to pay for holidays, tarts, cars, drugs, booze, rent or wages"
1,['1610516627719847936'],1610516627719847936,@stout_christina @drunkensomm Like the heated sidewalks for the homeless from Biden? or maybe the failed high speed rail that is way over the budget proposed and will not be highspeed? and you wonder why? How many new power plants has Newsome proposed to charge all the new electric cars he is forcing on us?
2,['1610516625299570688'],1610516625299570688,"RT @backtolife_2023: WEF Declares People Have No Right To Own Their Own Cars: ‘You Can Walk or Share’
https://t.co/89MmmwdeGI"
3,['1610516621239504896'],1610516621239504896,"@SinisterBadger Hard to say, for me personally I’d say the first 4 but I have a lot of nostalgia, I just feel the later ones don’t quite have the same magic and it was too easy to get new cars, I like the grind and the pay off of a new car being earned 😊"
4,['1610516615396745216'],1610516615396745216,RT @poormanscaviar: I do believe prices have hiked across the board. Might have something to do with fuel and electricity hikes too sweet N…
5,['1610516613626990595'],1610516613626990595,"@grayacethot @VariousMeatProd @muddaub I read this years ago and thankfully it put me off on thinking that luxury cars don't have problems 

https://t.co/4Y9B3Yi8Jy"
6,['1610516607318790151'],1610516607318790151,Tidak peduli seberapa bodoh dan jeleknya kita. Tetaplah menjadi diri sendiri dan jangan herankan apa kata orang kepada kita. -Mater (Cars 2) #Bot
7,['1610516598707879941'],1610516598707879941,RT @ProudElephantUS: Joe Biden has mandated kill switches on ALL new cars by 2026. This will allow the government to turn off your car anyt…
8,['1610516571100700672'],1610516571100700672,@POTUS Middle class Americans CANNOT afford expensive electric cars. I don’t know what planet you live on but please come back to earth.
9,['1610516568361795585'],1610516568361795585,"AutoTrader's Instant Offer is the latest product from South Africa's leading automotive marketplace, but should you use this tool to sell your vehicle?
https://t.co/PMnD2Swymf
#InstantOffer"
10,['1610516566206197760'],1610516566206197760,@POTUS The cost and damage to our environment to build those batteries for those cars makes your point null and void.
11,['1610516566017179649'],1610516566017179649,2022 brand new electric cars Big ant ev new energy vehicles Chery EQ5 wi... https://t.co/TauQ0hwyg0 via @YouTube
12,['1610516553740726273'],1610516553740726273,"Will self driving cars have thermal imaging to detect and avoid small animals or will I have to watch the car run them over? I'll pass if its the latter, I break for animals."
13,['1610516553631506432'],1610516553631506432,Nvidia's GeForce Now gaming service is coming to cars to make rides more entertaining  https://t.co/5yTpbHh7AO
14,['1610516542743105537'],1610516542743105537,RT @yonkojohn: Liberal's say going electric cars will be 99 Billion but using the Liberal conversion chart that cost will actually be north…
15,['1610516539958259712'],1610516539958259712,"RT @MGMotorIn: Celebrating the British legacy whose greatest gems were its classic cars at 21 Gun Salute Concours d'Elegance.  
Catch a gli…"
16,['1610516526708445185'],1610516526708445185,"RT @MattWallace888: Andrew Tate spoke out against the system. Now the government is keeping him behind bars and seizing all his cars, and h…"
17,['1610516519695560704'],1610516519695560704,"@TheRealRhllor Please consider the NOVAVAX Covid vaccine. I have been in closed cars, sneezed on and in rooms with my children when they were both Covid positive and I still did not get sick. NOVAVAX has sterilizing immunity where it prevents you from catching the virus it in the first place."
18,['1610516512582008838'],1610516512582008838,"RT @WholeMarsBlog: And that's just the beginning. I could go on and on.

So today, as $TSLA faces it's worst single day performance in hist…"
19,['1610516503530463234'],1610516503530463234,"RT @tooronlists: #Breaking: Climate activist Greta Thunberg accused of contributing to climate change. Apparently, she burned Andrew Tate s…"
